text,intent
как успехи на работе,how_are_you
сколько будет 5 умножить на 4,multiplication
до встречи пока,farewell
что ты можешь показать,help
10+20,addition
прибавить 3 к 5,addition
температура на улице,weather
goodbye,farewell
что в москве с погодой,weather
отними,subtraction
как дела как жизнь,how_are_you
погода на сегодня,weather
зовите меня александр,set_name
здравствуйте как поживаете,greeting
сколько градусов в питере,weather
какой прогноз,weather
раздели,division
рад вас видеть,greeting
как у тебя все,how_are_you
который час,time
что ты умеешь покажи,help
стоит ли брать зонт,weather
прощай,farewell
температура воздуха,weather
здравствуйте,greeting
мое имя анна,set_name
4 умножить на 3,multiplication
стоит ли брать зонт завтра,weather
посчитай сумму,addition
время,time
обращайтесь ко мне,set_name
как здоровье,how_are_you
10*10,multiplication
счастливо,farewell
вычесть 2 из 5,subtraction
какая температура завтра,weather
сложение 5 плюс 5,addition
погода на завтра,weather
здорово,greeting
сколько градусов тепла,weather
найти частное,division
здравствуйте как вы,greeting
напиши мое имя,set_name
моё имя,set_name
добрый день,greeting
скажи сколько времени,time
прогноз на сегодня,weather
что с настроением,how_are_you
вычти 5,subtraction
пойдет дождь,weather
15+30,addition
умножение,multiplication
меня назвали елена,set_name
hi,greeting
что нового в жизни,how_are_you
мороз на улице,weather
имя мое,set_name
будет ли дождь,weather
здравствуй друг,greeting
что нового у тебя,how_are_you
помоги мне,help
сколько будет 30 разделить на 6,division
нужно ли брать зонт,weather
доброго дня желаю,greeting
брать зонт сегодня,weather
температура в екатеринбурге,weather
что ты знаешь,help
ладно бывай,farewell
как ты сегодня,how_are_you
10 разделить на 2,division
чао,farewell
какая погода сегодня,weather
приветствую,greeting
прогноз на выходные,weather
узнать время,time
время сейчас,time
вычислить 8*9,multiplication
как с тобой работать,help
здрасьте,greeting
счастливого пути,farewell
здравствуй солнце,greeting
привет братан,greeting
сколько получится если сложить 4 и 6,addition
меня зовут сергей,set_name
как настроение сегодня,how_are_you
удачи тебе,farewell
погода в новосибирске,weather
сколько получится если 30 поделить на 5,division
